N,selection_type,U,S,T_m,T_se
100,reproduction,0.01,0.02,532.45,58.73539083349694
100,viability,0.01,0.02,560.59,63.95296898044798
300,reproduction,0.01,0.02,5357.01,486.0038023077348
300,viability,0.01,0.02,5609.09,546.9093441570209
500,reproduction,0.01,0.02,40244.79,4760.025120303271
500,viability,0.01,0.02,44729.92,4888.178741724413
700,reproduction,0.01,0.02,393728.58,42787.471470384
700,viability,0.01,0.02,457937.17,51692.232035429246
900,reproduction,0.01,0.02,4.16096147e6,385029.2404379904
900,viability,0.01,0.02,4.21913406e6,411683.71055051463
1100,reproduction,0.01,0.02,Inf,NaN
